date,persons_involved,killed,injured,county,pedestrian_involved,accident_type,light_conditions
2016-09-27 17:20:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2016-10-18 12:08:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2016-02-11 00:00:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2016-02-11 00:00:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2016-11-21 06:39:00,2,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2016-02-12 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2016-12-17 14:30:00,3,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2016-12-26 00:30:00,1,1,0,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2016-12-27 09:05:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2017-01-15 04:30:00,2,0,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2017-08-02 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2017-04-03 00:00:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2017-06-03 00:00:00,2,0,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2017-10-03 00:00:00,3,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2017-05-04 00:00:00,2,0,1,Harju maakond,0,Muu liiklusõnnetus,Valge aeg
2017-12-04 00:00:00,2,0,1,Harju maakond,0,Muu liiklusõnnetus,Valge aeg
2017-04-18 14:25:00,2,0,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2017-04-21 23:29:00,3,0,2,Harju maakond,0,Kokkupõrge,Pimeda aeg
2017-04-28 11:30:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2017-07-13 17:29:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2017-12-08 00:00:00,2,0,2,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2017-05-09 00:00:00,4,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2017-09-09 00:00:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2017-09-20 22:53:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2017-09-24 02:13:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2017-11-29 00:52:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2017-12-23 22:09:00,3,0,2,Harju maakond,0,Kokkupõrge,Pimeda aeg
2018-05-01 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2018-01-02 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2018-02-25 23:46:00,2,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2018-06-19 11:29:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2018-11-08 00:00:00,2,0,1,Harju maakond,1,Muu liiklusõnnetus,Valge aeg
2018-08-17 15:15:00,3,0,3,Põlva maakond,0,Kokkupõrge,Valge aeg
2018-10-16 12:41:00,6,0,5,Harju maakond,0,Kokkupõrge,Valge aeg
2018-05-11 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2018-11-24 15:06:00,2,0,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2018-08-12 00:00:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2018-10-12 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2019-01-18 17:50:00,2,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2019-01-19 00:27:00,3,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2019-01-24 01:52:00,5,0,2,Harju maakond,0,Kokkupõrge,Pimeda aeg
2019-01-28 09:41:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2019-09-05 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2019-12-05 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2019-05-22 17:20:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2019-08-06 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2019-06-22 08:53:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2019-06-28 17:30:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2019-04-07 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2019-07-21 12:08:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2019-07-22 03:15:00,3,0,2,Viljandi maakond,0,Ühesõidukiõnnetus,Valge aeg
2019-07-25 00:22:00,2,0,1,Harju maakond,0,Muu liiklusõnnetus,Pimeda aeg
2019-03-08 00:00:00,2,0,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2019-09-15 00:12:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2019-09-27 19:10:00,3,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2019-12-20 21:10:00,1,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2019-12-23 16:43:00,3,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2020-01-27 20:04:00,2,1,0,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2020-12-02 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2020-12-02 00:00:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2020-02-26 20:05:00,2,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2020-03-28 14:41:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2020-10-04 00:00:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2020-04-20 20:02:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2020-04-22 08:52:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2020-02-05 00:00:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2020-06-18 16:38:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2020-06-20 19:09:00,2,1,0,Harju maakond,0,Kokkupõrge,Valge aeg
2020-07-19 00:20:00,3,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2020-02-08 00:00:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
